"","irr_frac","simulation","design","nsim","dose","sd"
"422","0.25","p","classical","10000","4",0.526118842907697
"423","0.25","p","D","10000","4",0.507395837785419
"424","0.25","p","I50","10000","4",0.512291393371345
"425","0.25","p","I500","10000","4",0.507180341030613
"426","0.25","p","ca1","10000","5",0.501721961582545
"427","0.25","p","classical","10000","5",0.526265840180896
"428","0.25","p","D","10000","5",0.506236562713282
"429","0.25","p","I50","10000","5",0.513273998427263
"430","0.25","p","I500","10000","5",0.506753201121194
"431","0.125","p","ca1","10000","0",0.00859315356847864
"432","0.125","p","classical","10000","0",0.00851613622561644
"433","0.125","p","D","10000","0",0.00841478886818352
"434","0.125","p","I50","10000","0",0.050757709752738
"435","0.125","p","I500","10000","0",0.051097208393562
"436","0.125","p","ca1","10000","0.1",0.125007404073493
"437","0.125","p","classical","10000","0.1",0.115946069865621
"438","0.125","p","D","10000","0.1",0.158332230612017
"439","0.125","p","I50","10000","0.1",0.108064212165897
"440","0.125","p","I500","10000","0.1",0.125105104456321
"441","0.125","p","ca1","10000","0.25",0.332452148816749
"442","0.125","p","classical","10000","0.25",0.289268368179617
"443","0.125","p","D","10000","0.25",0.2997236518959
"444","0.125","p","I50","10000","0.25",0.301231967739244
"445","0.125","p","I500","10000","0.25",0.277992807395215
"446","0.125","p","ca1","10000","0.5",0.559735842710535
"447","0.125","p","classical","10000","0.5",0.610265859867867
"448","0.125","p","D","10000","0.5",0.592523547490868
"449","0.125","p","I50","10000","0.5",0.549812077077728
"450","0.125","p","I500","10000","0.5",0.562250676145492
"451","0.125","p","ca1","10000","0.75",0.782019526294378
"452","0.125","p","classical","10000","0.75",0.793108540165363
"453","0.125","p","D","10000","0.75",0.807278100388815
"454","0.125","p","I50","10000","0.75",0.802416918163149
"455","0.125","p","I500","10000","0.75",0.791802276614045
"456","0.125","p","ca1","10000","1",0.938909073494389
"457","0.125","p","classical","10000","1",0.963642862432452
"458","0.125","p","D","10000","1",0.970135445976189
"459","0.125","p","I50","10000","1",0.958460223281022
"460","0.125","p","I500","10000","1",0.968343535624053
"461","0.125","p","ca1","10000","1.5",1.08307965643428
"462","0.125","p","classical","10000","1.5",1.08063491024573
"463","0.125","p","D","10000","1.5",1.079378797783
"464","0.125","p","I50","10000","1.5",1.0892159398336
"465","0.125","p","I500","10000","1.5",1.08173292343792
"466","0.125","p","ca1","10000","2",1.061089286026
"467","0.125","p","classical","10000","2",1.04929714460112
"468","0.125","p","D","10000","2",1.0662320491595
"469","0.125","p","I50","10000","2",1.05855170409563
"470","0.125","p","I500","10000","2",1.05870529370135
"471","0.125","p","ca1","10000","3",0.898112946140541
"472","0.125","p","classical","10000","3",0.911915714547226
"473","0.125","p","D","10000","3",0.895108656376438
"474","0.125","p","I50","10000","3",0.90657570970051
"475","0.125","p","I500","10000","3",0.895604193707569
"476","0.125","p","ca1","10000","4",0.827168696528454
"477","0.125","p","classical","10000","4",0.807727083902885
"478","0.125","p","D","10000","4",0.821181111966044
"479","0.125","p","I50","10000","4",0.81444211546021
"480","0.125","p","I500","10000","4",0.833251532835057
"481","0.125","p","ca1","10000","5",0.802517721844328
"482","0.125","p","classical","10000","5",0.836304347413035
"483","0.125","p","D","10000","5",0.821276876973946
"484","0.125","p","I50","10000","5",0.829760485974602
"485","0.125","p","I500","10000","5",0.809758242558612
